short_description,category_list
"We build cutting edge technology products, rapidly! We utilize modern, frontier technologies and top talent to rapidly build technology platforms and products that will revolutionize and drive the businesses of the 21st century.","Product,Software,Information Technology"
App-based resilience training designed for work,"Computer,Education,Health Care,Software,Wellness"
Buy Man Things is an online retailer specializing in gifts and products designed for Men.,"Consumer Electronics,Consumer Goods,E-Commerce,Fashion,Lifestyle"
Stabil Capital Management is a Financial Services company.,Crowdfunding
"CodementorŒæis an online marketplace connectingŒædevelopersŒæwith experts for on-demand 1:1 help via screen sharing, video, and text chat.","Developer Tools,Education,Information Technology,Internet,Messaging,Video,Web Development"
"Smart MultiMedia, Inc. is located in Houston, Texas and specializes in high definition 3D digital scanning.","Consulting,Data Visualization,Digital Media,Information Technology,Manufacturing"
The Martin Prosperity Institute is an academic institute housed at the University of Torontoäó»s Rotman School of Management.,
Wavewalker Investments is a financial services & impact investing company located in Charleston.,"Financial Services,Finance,Impact Investing"
"Discount School Supply is provides supplies childhood equipment, learning materials and educational toys.","Higher Education,Continuing Education,Education"
"Evolution 2 provides personal habits analytics and enables life improvement through the creation, evaluation, and tracking of habits. ","Personal Development,Productivity Tools,Quantified Self"
"Ultraprise Loan Technologies, Inc. provides business-to-business e-commerce solutions for the financial services industry.","B2B,E-Commerce"
"Carter, DeLuca, Farrell & Schmidt, LLP is a New York-based intellectual property law firm.","Consulting,Real Estate"
The ESA BIC in Portugal enables entrepreneurs to receive comprehensive business and DNA Cascais.,Information Technology
Haikode,
Clinck is a business card application that enables its users to send their digital business cards as emails to their recipients.,"Information Technology,Internet,Mobile,Software"
AI technology SaaS services that provides relevant products for customers. GDPR-Friendly does not collect information from browsers.,"Artificial Intelligence,E-Commerce,Information Technology"
AutoOffer is an online sales tool for the purchase of new cars online.,"Automotive,Classifieds,Insurance,Internet,Trading Platform"
FILLMYBELLY is an Internet company.,"Internet,Restaurants"
Voitel is a provider of telecommunication and multimedia services.,"Information Technology,Telecommunications"
Retail IT Products and Services Consultancy,"Consulting,Retail"
"uikr offers its services on the selection, installation and service of air conditioning, refrigeration and ventilation.","Automotive,Computer,Telecommunications"
We Provide Home Automation and Security System in Dubai.,"Cyber Security,Information Technology,Security,Virtual Reality"
We provide regular Janitorial Cleaning and Maintenance for most commercial buildings in Idaho Falls.,CleanTech
"SOICO is a team of entrepreneurial members, managers, exits, and IPOs","Finance,Financial Services,Recruiting"
An online platform offering people an industry-leading clinically validated mental health assessment.,"Health Care,Online Portals,Therapeutics"
Artificial Intelligence Corporation,Artificial Intelligence
Workspace Property Trust is a real estate company focusing on development and management of office and retail space.,Real Estate
"Cobalt Ground Solutions offers aircraft, passenger and baggage handling in our genes, third party measurements.",Air Transportation
Blueskies Photography is specialized in expressive landscape and nature photography.,
E.H. Schwab (EHS) is Pennsylvania's largest privately held manufacturing business specializing in precision metal spinning and forming.,Manufacturing
BreatheOx has development of asthma monitoring system.,"Health Care,Medical Device"
SocialOptic builds Software as a Service solutions that enable organisations to work efficiently and effectively.,"Project Management,SaaS,Software"
Subscription service that manages the entire repair process for restaurant groups,"Big Data,Hospitality,Information Technology,Predictive Analytics,Restaurants,Software"
The Baltimore Life Insurance Company has provided reliable and competitive life insurance coverage for seven generations of policyowners.,"Insurance,Life Insurance"
Zygo Corporation develops high end optical systems and components for metrology and end-user applications.,"3D Technology,Manufacturing,Optical Communication"
"AGE Logic was a supplier of X Window System software that enables PCs, terminals, workstations and embedded systems.","Computer,Software"
"Strauss Paper Company is a business supplies and equipment company offering janitorial, disposable food packaging, and shipping supplies.","E-Commerce,Food and Beverage,Janitorial Service,Manufacturing,Retail"
"Platform3 provides web design, development and consultancy.","Web Design,Web Apps,Web Development"
Eivaa Games create games for iPhone/iPod Touc,"Gaming,iOS,Mobile,Mobile Apps"
iGooSoft offers audio and video conversion software solutions and services.,Software
IMODA24 is a real estate data service company.,"Construction,Commercial Real Estate,Real Estate"
MindBug Studios is a producer of fun animated startup videos for explaining and promoting a product or service.,"Advertising,Video"
FIDO-based Identity- and Authentication-as-a-Service,"Enterprise Software,IaaS,Identity Management,Information Technology,SaaS,Security"
NFX operates as a seed venture firm.,"Finance,Venture Capital"
MySkills is an open-source project which enhances online identity by letting everyone rate one's skills.,"Information Technology,Open Source,Social Media"
SmartRx is a mobile application developer that makes it easier for users to communicate with their doctors.,"Health Care,Information Technology,Software"
Tension Corporation is a paper & forest products company providing envelopes.,Manufacturing
Independent report exploring the impact fostering scale-up companies.,
Codeboxr is a web service company (founded in 2011) revolving around organic ideas & meeting demands of our clients.,"Content,E-Commerce,Social Media,Software,Web Browsers,Web Design"
Weer1.com is a dutch weather forecast website,"E-Commerce,Internet,News,Publishing,Social Media"
Fuegotec provides cash processing solution.,Point of Sale
"Award-winning artisanal chocolaterie, producing luxury handcrafted chocolates","Fashion,Food and Beverage,Lifestyle"
Blue Chair Books is a company which provides entertainment for children at parties and events in the San Gabriel Valley.,"Education,Event Management,Events"
Steves Ice Cream is a business that makes small batch ice cream with a variety of mix-ins.,"Food and Beverage,Food Processing,Grocery"
äóìHello Journeyeräóù is a complete travel & Tourism WebSite .,"Tourism,Travel"
Reese Bail Bonds is a criminal and justice court systems,"Professional Networking,Legal,Law Enforcement"
Providing big data analytics for the oil and gas industry.,"Analytics,Big Data,Oil and Gas"
Blocksi is a cloud content filtering and classroom management system for G Suite managed Chromebooks. ,Analytics
XPR is developer platform that lets you build anything online and works as your digital OS to connect the digital world for your customers,"Apps,E-Commerce,Information Technology,Internet,Marketing,Mobile Apps"
"myWebRoom, an online platform, enables its users to organize their collection of articles, videos, and other content in a virtual room.","Browser Extensions,Cloud Computing,E-Commerce,Interior Design,Social Bookmarking"
Medcare Products is a designer and manufacturer of safe patient handling equipment.,Health Care
"Rix Petroleum is one of the oldest remaining family-owned, independent fuel distributors in the UK. ",Business Intelligence
The Department of Planning & Environment supports sustainable growth in NSW.,"Government,Office Administration"
CyfraPay lets you pay with your credit or debit card by scanning a barcode with your iPhone or Android.,"FinTech,Mobile,Payments"
"Hoboken, NJ 07030","Health Care,Real Estate"
Global Leader in Translation Services,"Document Management,Local,Translation Service,Web Browsers"
